run,class,exit_code,phase_a_sams,runtime_sams,sout
001,ok,40,phase_a_001_ok.sams,runtime_001_ok.sams,run_001_ok.sout
002,ok,40,phase_a_002_ok.sams,runtime_002_ok.sams,run_002_ok.sout
003,ok,40,phase_a_003_ok.sams,runtime_003_ok.sams,run_003_ok.sout
004,crash_-10,-10,phase_a_004_crash_-10.sams,runtime_004_crash_-10.sams,run_004_crash_-10.sout
005,ok,40,phase_a_005_ok.sams,runtime_005_ok.sams,run_005_ok.sout
006,ok,40,phase_a_006_ok.sams,runtime_006_ok.sams,run_006_ok.sout
007,crash_-10,-10,phase_a_007_crash_-10.sams,runtime_007_crash_-10.sams,run_007_crash_-10.sout
008,ok,40,phase_a_008_ok.sams,runtime_008_ok.sams,run_008_ok.sout
009,ok,40,phase_a_009_ok.sams,runtime_009_ok.sams,run_009_ok.sout
010,ok,40,phase_a_010_ok.sams,runtime_010_ok.sams,run_010_ok.sout
011,ok,40,phase_a_011_ok.sams,runtime_011_ok.sams,run_011_ok.sout
012,ok,40,phase_a_012_ok.sams,runtime_012_ok.sams,run_012_ok.sout
013,ok,40,phase_a_013_ok.sams,runtime_013_ok.sams,run_013_ok.sout
014,ok,40,phase_a_014_ok.sams,runtime_014_ok.sams,run_014_ok.sout
015,crash_-10,-10,phase_a_015_crash_-10.sams,runtime_015_crash_-10.sams,run_015_crash_-10.sout
016,crash_-10,-10,phase_a_016_crash_-10.sams,runtime_016_crash_-10.sams,run_016_crash_-10.sout
017,ok,40,phase_a_017_ok.sams,runtime_017_ok.sams,run_017_ok.sout
018,ok,40,phase_a_018_ok.sams,runtime_018_ok.sams,run_018_ok.sout
019,ok,40,phase_a_019_ok.sams,runtime_019_ok.sams,run_019_ok.sout
020,crash_-10,-10,phase_a_020_crash_-10.sams,runtime_020_crash_-10.sams,run_020_crash_-10.sout
021,ok,40,phase_a_021_ok.sams,runtime_021_ok.sams,run_021_ok.sout
022,ok,40,phase_a_022_ok.sams,runtime_022_ok.sams,run_022_ok.sout
023,ok,40,phase_a_023_ok.sams,runtime_023_ok.sams,run_023_ok.sout
024,ok,40,phase_a_024_ok.sams,runtime_024_ok.sams,run_024_ok.sout
025,ok,40,phase_a_025_ok.sams,runtime_025_ok.sams,run_025_ok.sout
026,ok,40,phase_a_026_ok.sams,runtime_026_ok.sams,run_026_ok.sout
027,ok,40,phase_a_027_ok.sams,runtime_027_ok.sams,run_027_ok.sout
028,ok,40,phase_a_028_ok.sams,runtime_028_ok.sams,run_028_ok.sout
029,ok,40,phase_a_029_ok.sams,runtime_029_ok.sams,run_029_ok.sout
030,crash_-10,-10,phase_a_030_crash_-10.sams,runtime_030_crash_-10.sams,run_030_crash_-10.sout
