run,exit_code,file
001,40,phase_a_supervisor_spawn_registered_001.sout
002,40,phase_a_supervisor_spawn_registered_002.sout
003,40,phase_a_supervisor_spawn_registered_003.sout
004,40,phase_a_supervisor_spawn_registered_004.sout
005,40,phase_a_supervisor_spawn_registered_005.sout
006,40,phase_a_supervisor_spawn_registered_006.sout
007,40,phase_a_supervisor_spawn_registered_007.sout
008,40,phase_a_supervisor_spawn_registered_008.sout
009,40,phase_a_supervisor_spawn_registered_009.sout
010,40,phase_a_supervisor_spawn_registered_010.sout
011,40,phase_a_supervisor_spawn_registered_011.sout
012,-10,phase_a_supervisor_spawn_registered_012.sout
013,40,phase_a_supervisor_spawn_registered_013.sout
014,40,phase_a_supervisor_spawn_registered_014.sout
015,40,phase_a_supervisor_spawn_registered_015.sout
016,40,phase_a_supervisor_spawn_registered_016.sout
017,40,phase_a_supervisor_spawn_registered_017.sout
018,40,phase_a_supervisor_spawn_registered_018.sout
019,40,phase_a_supervisor_spawn_registered_019.sout
020,-10,phase_a_supervisor_spawn_registered_020.sout
021,40,phase_a_supervisor_spawn_registered_021.sout
022,40,phase_a_supervisor_spawn_registered_022.sout
023,40,phase_a_supervisor_spawn_registered_023.sout
024,40,phase_a_supervisor_spawn_registered_024.sout
025,40,phase_a_supervisor_spawn_registered_025.sout
026,40,phase_a_supervisor_spawn_registered_026.sout
027,40,phase_a_supervisor_spawn_registered_027.sout
028,40,phase_a_supervisor_spawn_registered_028.sout
029,40,phase_a_supervisor_spawn_registered_029.sout
030,40,phase_a_supervisor_spawn_registered_030.sout
031,40,phase_a_supervisor_spawn_registered_031.sout
032,-10,phase_a_supervisor_spawn_registered_032.sout
033,40,phase_a_supervisor_spawn_registered_033.sout
034,40,phase_a_supervisor_spawn_registered_034.sout
035,40,phase_a_supervisor_spawn_registered_035.sout
036,40,phase_a_supervisor_spawn_registered_036.sout
037,40,phase_a_supervisor_spawn_registered_037.sout
038,-10,phase_a_supervisor_spawn_registered_038.sout
039,40,phase_a_supervisor_spawn_registered_039.sout
040,40,phase_a_supervisor_spawn_registered_040.sout
041,40,phase_a_supervisor_spawn_registered_041.sout
042,40,phase_a_supervisor_spawn_registered_042.sout
043,40,phase_a_supervisor_spawn_registered_043.sout
044,40,phase_a_supervisor_spawn_registered_044.sout
045,40,phase_a_supervisor_spawn_registered_045.sout
046,-10,phase_a_supervisor_spawn_registered_046.sout
047,40,phase_a_supervisor_spawn_registered_047.sout
048,40,phase_a_supervisor_spawn_registered_048.sout
049,40,phase_a_supervisor_spawn_registered_049.sout
050,40,phase_a_supervisor_spawn_registered_050.sout
051,40,phase_a_supervisor_spawn_registered_051.sout
052,-10,phase_a_supervisor_spawn_registered_052.sout
053,40,phase_a_supervisor_spawn_registered_053.sout
054,40,phase_a_supervisor_spawn_registered_054.sout
055,40,phase_a_supervisor_spawn_registered_055.sout
056,40,phase_a_supervisor_spawn_registered_056.sout
057,-10,phase_a_supervisor_spawn_registered_057.sout
058,-10,phase_a_supervisor_spawn_registered_058.sout
059,40,phase_a_supervisor_spawn_registered_059.sout
060,40,phase_a_supervisor_spawn_registered_060.sout
061,40,phase_a_supervisor_spawn_registered_061.sout
062,40,phase_a_supervisor_spawn_registered_062.sout
063,40,phase_a_supervisor_spawn_registered_063.sout
064,40,phase_a_supervisor_spawn_registered_064.sout
065,40,phase_a_supervisor_spawn_registered_065.sout
066,-10,phase_a_supervisor_spawn_registered_066.sout
067,40,phase_a_supervisor_spawn_registered_067.sout
068,40,phase_a_supervisor_spawn_registered_068.sout
069,40,phase_a_supervisor_spawn_registered_069.sout
070,40,phase_a_supervisor_spawn_registered_070.sout
071,40,phase_a_supervisor_spawn_registered_071.sout
072,40,phase_a_supervisor_spawn_registered_072.sout
073,-10,phase_a_supervisor_spawn_registered_073.sout
074,40,phase_a_supervisor_spawn_registered_074.sout
075,40,phase_a_supervisor_spawn_registered_075.sout
076,40,phase_a_supervisor_spawn_registered_076.sout
077,40,phase_a_supervisor_spawn_registered_077.sout
078,40,phase_a_supervisor_spawn_registered_078.sout
079,40,phase_a_supervisor_spawn_registered_079.sout
080,40,phase_a_supervisor_spawn_registered_080.sout
