run,exit_code,sout,new_ips
001,40,run_001.sout,
002,40,run_002.sout,
003,40,run_003.sout,
004,40,run_004.sout,
005,40,run_005.sout,
006,40,run_006.sout,
007,40,run_007.sout,
008,40,run_008.sout,
009,40,run_009.sout,
010,40,run_010.sout,
011,40,run_011.sout,
012,40,run_012.sout,
013,40,run_013.sout,
014,-10,run_014.sout,phase_a_supervisor_spawn_registered-2026-05-15-133150.ips
015,40,run_015.sout,
016,40,run_016.sout,
017,40,run_017.sout,
018,40,run_018.sout,
019,40,run_019.sout,
020,40,run_020.sout,
021,40,run_021.sout,
022,40,run_022.sout,
023,40,run_023.sout,
024,40,run_024.sout,
025,40,run_025.sout,
026,40,run_026.sout,
027,40,run_027.sout,
028,40,run_028.sout,
029,40,run_029.sout,
030,40,run_030.sout,
031,40,run_031.sout,
032,40,run_032.sout,
033,40,run_033.sout,
034,40,run_034.sout,
035,40,run_035.sout,
036,40,run_036.sout,
037,40,run_037.sout,
038,40,run_038.sout,
039,40,run_039.sout,
040,40,run_040.sout,
